127.0.0.1 - - [17/Jul/2018:09:30:06 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:30:08 +0530] "GET /FundooNotes/ HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:30:08 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:30:35 +0530] "OPTIONS /FundooNotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:30:36 +0530] "POST /FundooNotes/login HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:30:36 +0530] "OPTIONS /FundooNotes/getallnotesofuser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:30:36 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:31:36 +0530] "OPTIONS /FundooNotes/createnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:31:36 +0530] "POST /FundooNotes/createnotes HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:31:36 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:35:32 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:35:33 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:36:09 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1087
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:37:42 +0530] "POST /FundooNotes/createnotes HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:37:42 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:39:24 +0530] "POST /FundooNotes/createnotes HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:39:24 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:47:35 +0530] "OPTIONS /FundooNotes/getallnotesofuser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:47:36 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:47:36 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:47:59 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:47:59 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:48:39 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:48:39 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:49:00 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:49:00 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:49:33 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:49:33 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:50:06 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:57:13 +0530] "OPTIONS /FundooNotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:57:13 +0530] "POST /FundooNotes/login HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:57:13 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:58:09 +0530] "OPTIONS /FundooNotes/getallnotesofuser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:58:09 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:58:10 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:58:29 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:09:58:30 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:05:48 +0530] "OPTIONS /FundooNotes/forgetpassword HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:05:48 +0530] "POST /FundooNotes/forgetpassword HTTP/1.1" 500 20093
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:06:39 +0530] "POST /FundooNotes/forgetpassword HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:07:09 +0530] "GET /FundooNotes/changepassword/eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiIzNyIsImlhdCI6MTUzMTgwMjE5OCwic3ViIjoidG9ja2VucyIsImlzcyI6ImFiayIsImV4cCI6MTUzMTgwNTc5OH0.axTQxF4iDNWUG13wCF9CFZdgWIUrQsQtk-0Vd0qsQlk HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:07:20 +0530] "OPTIONS /FundooNotes/resetpassword/eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiIzNyIsImlhdCI6MTUzMTgwMjE5OCwic3ViIjoidG9ja2VucyIsImlzcyI6ImFiayIsImV4cCI6MTUzMTgwNTc5OH0.axTQxF4iDNWUG13wCF9CFZdgWIUrQsQtk-0Vd0qsQlk HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:07:20 +0530] "PUT /FundooNotes/resetpassword/eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiIzNyIsImlhdCI6MTUzMTgwMjE5OCwic3ViIjoidG9ja2VucyIsImlzcyI6ImFiayIsImV4cCI6MTUzMTgwNTc5OH0.axTQxF4iDNWUG13wCF9CFZdgWIUrQsQtk-0Vd0qsQlk HTTP/1.1" 202 61
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:07:43 +0530] "OPTIONS /FundooNotes/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:07:43 +0530] "POST /FundooNotes/login HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:07:43 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:07:49 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:09:58 +0530] "OPTIONS /FundooNotes/getallnotesofuser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:09:58 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:10:02 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:10:11 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:10:25 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:10:58 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:11:05 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:11:25 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:11:26 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:11:32 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:11:36 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:12:06 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:12:10 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:12:13 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:12:50 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:13:56 +0530] "POST /FundooNotes/login HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:13:56 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:14:37 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:15:07 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:15:30 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:15:31 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:16:08 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:17:01 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:17:01 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:17:24 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:17:24 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:20:08 +0530] "OPTIONS /FundooNotes/createnotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:20:08 +0530] "POST /FundooNotes/createnotes HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:20:08 +0530] "OPTIONS /FundooNotes/getallnotesofuser HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:20:08 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1555
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:21:10 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1555
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:21:21 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1555
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:21:21 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1555
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:21:36 +0530] "POST /FundooNotes/createnotes HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:21:36 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1741
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:22:02 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1741
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:22:02 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1741
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:23:59 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1741
0:0:0:0:0:0:0:1 - - [17/Jul/2018:10:24:00 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 1741
