127.0.0.1 - - [07/Jul/2018:09:36:13 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [07/Jul/2018:09:36:14 +0530] "GET /FundooNotes/ HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [07/Jul/2018:09:36:14 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [07/Jul/2018:09:37:07 +0530] "POST /FundooNotes/registration HTTP/1.1" 500 20001
0:0:0:0:0:0:0:1 - - [07/Jul/2018:09:38:01 +0530] "POST /FundooNotes/registration HTTP/1.1" 409 19
0:0:0:0:0:0:0:1 - - [07/Jul/2018:09:39:25 +0530] "POST /FundooNotes/registration HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [07/Jul/2018:09:40:44 +0530] "POST /FundooNotes/forgetpassword HTTP/1.1" 404 17
0:0:0:0:0:0:0:1 - - [07/Jul/2018:09:56:30 +0530] "GET /FundooNotes/activeuser/eyJhbGciOiJIUzI1NiJ9.eyJqdGkiOiIyNiIsImlhdCI6MTUzMDkzNjU2NSwic3ViIjoidG9ja2VucyIsImlzcyI6ImFiayIsImV4cCI6MTUzMDk0MDE2NX0.oY6I9XTbfWzZHJPLgEI_y5OBc2bmSrkrkkCjEHAx4WQ HTTP/1.1" 201 14
0:0:0:0:0:0:0:1 - - [07/Jul/2018:09:57:55 +0530] "POST /FundooNotes/login HTTP/1.1" 404 14
0:0:0:0:0:0:0:1 - - [07/Jul/2018:09:58:33 +0530] "POST /FundooNotes/login HTTP/1.1" 202 209
0:0:0:0:0:0:0:1 - - [07/Jul/2018:10:00:45 +0530] "POST /FundooNotes/createnotes HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [07/Jul/2018:10:02:58 +0530] "POST /FundooNotes/createnotes HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [07/Jul/2018:10:04:42 +0530] "GET /FundooNotes/getallnotesofuser HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [07/Jul/2018:10:05:33 +0530] "DELETE /FundooNotes/deletnote/9 HTTP/1.1" 500 4841
0:0:0:0:0:0:0:1 - - [07/Jul/2018:10:08:28 +0530] "DELETE /FundooNotes/deletnote/9 HTTP/1.1" 500 4841
0:0:0:0:0:0:0:1 - - [07/Jul/2018:10:09:14 +0530] "DELETE /FundooNotes/deletnote/9 HTTP/1.1" 500 5344
0:0:0:0:0:0:0:1 - - [07/Jul/2018:10:10:38 +0530] "DELETE /FundooNotes/deletnote/9 HTTP/1.1" 500 5344
0:0:0:0:0:0:0:1 - - [07/Jul/2018:10:13:05 +0530] "DELETE /FundooNotes/deletnote/9 HTTP/1.1" 500 4841
0:0:0:0:0:0:0:1 - - [07/Jul/2018:10:15:22 +0530] "DELETE /FundooNotes/deletnote/13 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [07/Jul/2018:10:22:28 +0530] "DELETE /FundooNotes/deletnote/13 HTTP/1.1" 500 4841
0:0:0:0:0:0:0:1 - - [07/Jul/2018:10:28:21 +0530] "DELETE /FundooNotes/deletnote/13 HTTP/1.1" 500 4841
0:0:0:0:0:0:0:1 - - [07/Jul/2018:10:35:43 +0530] "DELETE /FundooNotes/deletnote/13 HTTP/1.1" 500 4841
0:0:0:0:0:0:0:1 - - [07/Jul/2018:10:35:58 +0530] "DELETE /FundooNotes/deletnote/13 HTTP/1.1" 409 54
0:0:0:0:0:0:0:1 - - [07/Jul/2018:10:46:18 +0530] "PUT /FundooNotes/updatenotes/6 HTTP/1.1" 409 54
